Structure,Index,Name,Visible,Tagged,Visibility Locked,Color,Calculate Charges,Number of Atoms,Molecular Formula,Molecular Composition,Molecular Weight,Exact Mol. Weight,Net Formal Charge,Absn_Risk,TOX_Risk,ADMET_Risk,s_user_SMILES,s_m_subgroup_title,s_m_subgroupid,b_m_subgroup_collapsed,ADMET_Code,Clean Energy
,508,7530,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,CNC(=O)c(c1)cc(=O)n(c12)N(CC2)C[C@H](C34)CN(CC3)CC4,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm+,
,509,7629,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,NCC1CCCC(C12)N(C=CC2)C[C@H](C34F)CN(CC4)CC3O,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm+,
,510,8129,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,O=c1[nH]cnc(c12)c(C(CC34)N(CO4)CC3)c5c(c2)C(=O)COC=N5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,511,8451,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C(CC12O)CN(CCC3)n(c34)c(=O)ccc4C,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm+,
,512,8800,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,c1cc(=S)n(C(=O)O)c(c12)N(C=CS2)C[C@H](C34)CN(CC3O)C(C4)C5(C)CCCO5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,513,9297,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12)C(CC#N)N(C=CS3)c(c34)cccc4C(=O)CO,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm-,
,514,9779,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C(C(=O)C)[C@@H](C12)C(C#C)c3c(ncoc4=O)n4c(c35)c(=O)cc[nH]5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,515,9858,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12)C(=O)n(c(c3c=45)cccc3)c5=CC(=O)C4NS(=O)(=O)C,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,516,10106,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,CN(C1)CCC1Cn2c(c(C)c(C)c(C#N)c3=O)n3c(=O)c4c2ccc(c45)NCO5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,517,10226,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12)Cc3ccn(c34)C(O)C(N)CC4,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm+,
,518,10342,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12)CC(O)C(c(c34)[nH]cc3)C5C(S4)=CC(=O)CC5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,519,10729,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,CC(=O)Nc(cc1)cc(c12)n3c(ncoc3=O)c2C[C@H](C45)CN(CO5)CC4,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,520,10792,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,O=C(O)c1cc(ccc1)C2=CSC=CN2C[C@H](C34)CN(CC3)CC4,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm-,
,521,10847,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,n1cccnc1Cc(c2)ccc(N(C3)C(C4N)CCC4)c2S(=O)c(c35)cc(=O)[nH]c5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,522,11035,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C(C)[C@@H](C12)C(c3ncon3)n(cc4)c(c45)N=CC(=O)CO5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,523,11037,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12)C(C)c3c(N=COC(=O)C4)n4c(c35)cccc5C,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,524,11576,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12)C(C#N)n(c3NC=NC4)c(c5c34)c(=O)ccn5C(=O)C,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,525,11654,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12N)CN(CCS3)n(c34)c(=O)ccc4,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm+,
,526,11685,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C(C)[C@@H](C12)C(c3ncon3)c(c4)[nH]c(c45)N=CC(=O)CO5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,527,11945,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,c1c(=O)occ(c12)n3c(ncoc3=O)c2C(C45)CN(CC4F)CC5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,528,12015,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,O=C(O)n(c1=O)ccc(c12)SC=CN2[C@H](C34)CN(CC4)C(C3)c5ccco5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,529,12076,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CS2)C[C@@H](C12)C(C#N)N(C=CS3)c(c34)cccc4C(=O)O,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm+,
,530,12103,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12)C(F)c3c(N=COC(=O)C4)n4c(c35)cccc5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,531,12125,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,c1cc(=S)n(C(=O)O)c(c12)N(C=CS2)C[C@H](C34)CN(CC3F)C(C4)C5CCCO5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,532,12173,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,O=c1[nH]cnc(c12)c([C@H](C34)CN(CC3)CC4)c5c(c2)C(=O)COC=N5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,533,12210,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12)C(C#N)n(c3NC=NC4)c(c5c34)c(=O)ccn5C=O,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,534,12788,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,NCC1CCCC(C12)N(C=CC2)C[C@H](C34F)CN(C(C3)O)CC4,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm-,
,535,12797,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,OCC(=O)c1cccc(c12)SC=CN2C[C@H](C34)CN(CN4)C(C3)c5ccc(o5)F,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,536,12809,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,Cc1cc(C)cc(c12)N(CCCN(C)C)n3c(S2=O)cc(CN)cc3=O,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm+,
,537,12898,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C(C)[C@@H](C12)C(c3ncon3)c4c[nH]c(c45)OCC(=O)C=N5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,538,12909,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@](C)(C12)C(C#N)n(c3NC=NC4)c(c5c34)c(=O)ccn5C=O,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,539,12991,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,O=C(O)n(c1=O)ccc(c12)SC=CN2[C@H](C34)CN(CC4)C(C3)c5ccoc5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,540,13211,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,CN(C)CCCN1n(c(=O)c(CN)cc2)c2S(=O)c(c13)cccc3,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm+,
,541,13231,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,O=C(O)c1cccc(c12)SC=C(c3c[nH]cn3)N2[C@H](C45)N(C(C)C4)NC5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,542,13372,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,O=C(O)c1cccc(c12)SC=CN2C[C@H](C34)CN(CC4)CC3C,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xm-,
,543,13377,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,c1cc(C(=O)N)c(F)c(c12)n3c(ncoc3=O)c2C(CC45)N(CO5)CC4,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,544,13516,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,CC(=O)Nc(c1)ccc(c12)N3C(N=COC3=O)C2C[C@H](C45)CN(CC4)CC5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,545,13676,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,CN(C1)C=CC1Cn2c(cc(C)cc3=O)n3c(=O)c4c2ccc(c45)nco5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,546,13717,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,O=C(O)c1cccc(c12)SC=C(c3c[nH]cn3)N2[C@H](C45)N(CC4)NC5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,547,13740,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,c1c(Br)n(C)c(c12)NCc3c4n(c(=O)cc3S2=O)CCCC4,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
,548,13785,false,false,false,255 255 255 255,false,,,,,,,0,0.5,0.5,C1CN(CC2)C[C@@H](C12)Cn(cc3)c(c34)c(S(=O)C)c5c(c4)nco5,AIDD_Results trypanosoma scaffold 1,AIDD_Results trypanosoma scaffold 1,0,Xr-,
